country,biennial_assessment_invoiced_2020_usd,biennial_assessment_invoiced_2020_chf,biennial_assessment_collected_or_adjusted_2020_usd,biennial_assessment_collected_or_adjusted_2020_chf,biennial_assessment_balance_outstanding_usd_(A),biennial_assessment_balance_outstanding_chf_(A),balance_for_prior_years_as_at_31_dec_19_usd,prior_financial_periods_balance_for_prior_years_as_at_31_dec_19_chf,prior_financial_periods_collected_or_adjusted_during_current_biennial_usd,prior_financial_periods_collected_or_adjusted_during_current_biennial_chf,prior_financial_periods_balance_outstanding_usd_(B),prior_financial_periods_balance_outstanding_chf_(B),rescheduled_assessment_rescheduled_assessment_usd,rescheduled_assessment_collected_or_adjusted_2020-2021_usd,rescheduled_assessment_collected_or_adjusted_from_prior_years_as_at_31_dec_19_usd,rescheduled_assessment_balance_outstanding_(C),total_outstanding_usd_(A)+(B)+(C),total_outstanding_chf_(A)+(B)+(C)
Afghanistan,33500,0,0,0,33500,0,28700,0,0,0,28700,0,232500,0,199200,33300,95500,0
Albania,38280,0,0,0,38280,0,0,0,0,0,0,0,0,0,0,0,38280,0
Algeria,330145,337078,0,0,330145,337078,0,0,0,0,0,0,0,0,0,0,330145,337078
Andorra,23930,0,0,0,23930,0,28700,0,28700,0,0,0,0,0,0,0,23930,0
Angola,47850,0,0,0,47850,0,0,0,0,0,0,0,0,0,0,0,47850,0
Antigua and Barbuda,9570,0,0,0,9570,0,0,0,0,0,0,0,0,0,0,0,9570,0
Argentina,2188980,2234949,0,0,2188980,2234949,2563640,4250569,429820,2125285,2133820,2125284,0,0,0,0,4322800,4360233
Armenia,33500,0,33500,0,0,0,0,0,0,0,0,0,2355550,0,2176647,178903,178903,0
Australia,5287045,5398073,5287045,5398073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,1619610,1653622,1619610,1653622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,117225,119687,117225,119687,0,0,0,0,0,0,0,0,3693383,0,3693383,0,0,0
Bahamas,86130,0,86130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,119620,122132,0,0,119620,122132,0,0,0,0,0,0,0,0,0,0,119620,122132
Bangladesh,47850,0,0,0,47850,0,320,0,0,0,320,0,0,0,0,0,48170,0
Barbados,33500,0,25123,0,8377,0,0,0,0,0,0,0,0,0,0,0,8377,0
Belarus,117225,119687,0,0,117225,119687,0,0,0,0,0,0,181672,0,181672,0,117225,119687
Belgium,1964105,2005351,1964105,2005351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,4790,0,0,0,4790,0,0,0,0,0,0,0,0,0,0,0,4790,0
Benin,14360,0,0,0,14360,0,29011,0,0,0,29011,0,0,0,0,0,43371,0
Bhutan,4790,0,0,0,4790,0,0,0,0,0,0,0,0,0,0,0,4790,0
Bolivia (Plurinational State of),76560,0,0,0,76560,0,114820,0,0,0,114820,0,0,0,0,0,191380,0
Bosnia and Herzegovina,57420,0,57420,0,0,0,124400,0,124400,0,0,0,0,0,0,0,0,0
Botswana,66990,0,0,0,66990,0,66980,0,66980,0,0,0,0,0,0,0,66990,0
Brazil,7052585,7200689,0,0,7052585,7200689,9145765,9109182,0,0,9145765,9109182,0,0,0,0,16198350,16309871
Brunei Darussalam,119620,0,119620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,110050,112361,110050,112361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,14360,0,14360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,4790,0,0,0,4790,0,4860,0,0,0,4860,0,0,0,0,0,9650,0
Cabo Verde,4790,0,4790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,28710,0,0,0,28710,0,0,0,0,0,0,0,0,0,0,0,28710,0
Cameroon,62200,0,0,0,62200,0,19063,0,0,0,19063,0,0,0,0,0,81263,0
Canada,6540625,6677978,6540625,6677978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
